"id","title","icon96x96","src","_blank","appid","cat"
"CA10","Línea de recetas","/$/alibeb/img/icons/alibeb_lineas-96x96.png","/!/alibeb/alibeb_lineas/","0","alibeb.linea","0090"
"CA20","Recetas","/$/alibeb/img/icons/alibeb_recetas-96x96.png","/!/alibeb/alibeb_recetas/","0","alibeb.recetas","0090"
