"Sys_TimeStamp","Sys_GUID","Sys_DTCreated","Sys_User","Sys_LastUser","Sys_Exported","Sys_DTExported","Sys_Info","Codigo","Descripcion","AlmacenMP","AlmacenPT","sys_recver","sys_deleted","sys_lock"
"2017-05-18 01:16:03","D23F782846974D11B36BB98B847C3856","2008-10-24 01:49:32",\N,\N,"0","2008-10-24 01:49:32",\N,"0001","BARRA","1","1","0",\N,\N
"2017-05-18 01:16:03","16301B7CB6D64BB086B0C3663B14985B","2008-10-24 01:49:51",\N,\N,"0","2008-10-24 01:49:51",\N,"0002","COCINA","1","1","0",\N,\N
